jd,n0,e0,u0,n1,e1,u1,n2,e2,u2,n3,e3,u3
2016-07-11,-380.357,725.719,206.17800000000003,-272.24399999999997,-392.466,633.22,-660.802,-260.193,923.0360000000001,-772.126,106.61400000000002,125.11500000000001
2016-07-12,-380.164,723.271,208.783,-270.843,-395.38,634.365,-660.9010000000001,-262.353,925.8910000000001,-771.726,103.995,127.50999999999999
2016-07-13,-380.893,723.3009999999999,205.51399999999998,-272.926,-395.48299999999995,630.8560000000001,-662.0699999999999,-262.363,923.3299999999999,-772.3180000000001,104.93900000000001,120.258
2016-07-14,-381.654,721.516,207.87399999999997,-273.569,-395.557,636.131,-661.7189999999999,-262.863,927.298,-772.6149999999999,104.726,122.38199999999999
2016-07-15,-380.39099999999996,724.459,200.259,-269.13899999999995,-393.55899999999997,620.838,-661.461,-260.50800000000004,918.276,-771.7479999999999,105.637,121.66300000000001
2016-07-16,-376.38,722.641,204.644,-267.702,-393.963,631.9739999999999,-659.462,-261.227,926.3950000000001,-774.389,107.642,124.41400000000002
2016-07-17,-379.229,721.331,198.13699999999997,-272.66999999999996,-397.698,632.429,-662.1550000000001,-261.339,923.7049999999999,-772.069,107.268,128.091
2016-07-18,-380.99899999999997,725.051,201.352,-271.536,-393.755,633.5229999999999,-661.516,-260.797,922.947,-774.4459999999999,105.74600000000001,132.97799999999998
2016-07-19,-377.50800000000004,723.5930000000001,194.13400000000001,-271.399,-394.148,637.192,-659.963,-259.015,927.8910000000001,-764.3979999999999,108.499,115.06300000000002
2016-07-20,-378.82300000000004,724.622,203.0,-270.143,-392.70300000000003,636.1210000000001,-659.856,-259.028,927.4409999999999,-769.188,108.17200000000001,117.36300000000001
2016-07-21,-377.332,726.4689999999999,205.98200000000003,-268.711,-392.67800000000005,633.192,-657.3299999999999,-259.27299999999997,925.5360000000001,-768.879,107.21099999999998,125.923
2016-07-22,-378.827,725.182,206.331,-271.303,-393.743,632.9279999999999,-659.329,-260.857,921.6489999999999,-770.947,106.204,126.46400000000003
2016-07-23,-378.35999999999996,726.7249999999999,205.746,-271.61999999999995,-392.39000000000004,632.2489999999999,-659.854,-259.2,922.7420000000001,-771.4810000000001,107.643,124.98900000000002
2016-07-24,-380.262,726.482,206.44400000000002,-272.58899999999994,-392.40999999999997,629.087,-661.2819999999999,-259.549,921.058,-771.768,107.46300000000002,123.001
2016-07-25,-380.782,725.795,209.64499999999998,-271.04200000000003,-392.838,636.926,-660.918,-259.204,925.0370000000001,-772.165,107.84100000000001,124.423
2016-07-26,-380.25,724.806,202.803,-271.769,-393.845,629.317,-660.683,-260.707,922.7639999999999,-773.7850000000001,106.05799999999999,118.83599999999998
2016-07-27,-382.366,721.8520000000001,199.684,-273.759,-391.504,629.5699999999999,-661.5310000000001,-260.23,922.7479999999999,-773.569,106.771,121.492
2016-07-28,-382.433,721.097,204.533,-274.409,-392.041,638.846,-662.13,-262.261,925.854,-774.379,103.73900000000002,127.41
2016-07-29,-383.826,721.5550000000001,210.90300000000002,-277.084,-392.69699999999995,635.9319999999999,-664.277,-262.518,930.845,-778.66,102.22399999999999,127.377
2016-07-30,-382.653,724.886,205.478,-275.403,-392.008,634.518,-663.15,-260.633,922.653,-777.783,104.171,125.614
2016-07-31,-382.025,722.36,207.684,-274.686,-391.787,634.654,-662.5840000000001,-261.444,923.3610000000001,-779.224,103.93599999999999,130.477
2016-08-01,-380.80199999999996,723.904,199.47,-271.194,-390.291,634.221,-660.316,-259.98,919.7059999999999,-779.255,102.53,127.85
2016-08-02,-383.895,723.1999999999999,205.279,-276.393,-392.434,639.759,-662.628,-261.31300000000005,925.8799999999999,-779.08,100.94500000000001,130.609
2016-08-03,-384.95300000000003,723.599,209.18499999999997,-277.418,-392.22499999999997,637.233,-664.646,-262.10900000000004,924.7760000000001,-779.772,103.18900000000002,127.62200000000001
2016-08-04,-382.35799999999995,725.85,210.45999999999998,-275.715,-389.805,639.532,-663.65,-261.01,926.221,-778.614,103.985,131.41400000000002
2016-08-05,-382.14899999999994,726.071,206.121,-274.884,-390.167,632.668,-664.143,-259.61300000000006,924.0959999999999,-779.286,106.304,130.346
2016-08-06,-381.493,725.7289999999999,206.952,-276.246,-390.947,634.158,-663.6270000000001,-259.90000000000003,926.741,-770.669,106.735,128.5
2016-08-07,-381.642,725.386,210.13600000000002,-274.60999999999996,-393.69100000000003,631.911,-663.395,-260.835,923.876,-771.7629999999999,106.61199999999998,123.624
2016-08-08,-380.11300000000006,726.433,207.815,-272.37,-393.78000000000003,636.9319999999999,-664.1819999999999,-259.925,930.099,-773.7149999999999,106.508,130.21300000000002
2016-08-09,-382.884,726.779,207.6,-272.67900000000003,-392.95799999999997,637.701,-664.924,-259.66100000000006,926.726,-774.455,107.16400000000002,129.446
2016-08-10,-381.87399999999997,724.604,207.59199999999998,-272.884,-392.847,630.8090000000001,-660.4680000000001,-260.58200000000005,923.104,-772.509,107.056,128.58599999999998
2016-08-11,-383.69599999999997,725.6510000000001,203.74900000000002,-275.46500000000003,-392.288,628.8000000000001,-664.679,-260.372,919.474,-775.549,107.90899999999999,125.24000000000002
2016-08-12,-385.07099999999997,724.332,199.47699999999998,-278.444,-393.19,619.4069999999999,-666.61,-261.961,916.537,-777.669,106.549,117.06700000000001
2016-08-13,-380.235,723.212,195.854,-277.198,-390.75,611.561,-662.0699999999999,-260.73,917.0659999999999,-775.379,106.63900000000001,118.53399999999999
